,Title,Director,Year
0,Guardians of the Galaxy,James Gunn,2014
1,Prometheus,Ridley Scott,2012
2,Split,M. Night Shyamalan,2016
3,Sing,Christophe Lourdelet,2016
4,Suicide Squad,David Ayer,2016
5,The Great Wall,Yimou Zhang,2016
6,La La Land,Damien Chazelle,2016
7,Mindhorn,Sean Foley,2016
8,The Lost City of Z,James Gray,2016
9,Passengers,Morten Tyldum,2016
10,Fantastic Beasts and Where to Find Them,David Yates,2016
11,Hidden Figures,Theodore Melfi,2016
12,Rogue One,Gareth Edwards,2016
13,Moana,Ron Clements,2016
14,Colossal,Nacho Vigalondo,2016
15,The Secret Life of Pets,Chris Renaud,2016
16,Hacksaw Ridge,Mel Gibson,2016
17,Jason Bourne,Paul Greengrass,2016
18,Lion,Garth Davis,2016
19,Arrival,Denis Villeneuve,2016
20,Gold,Stephen Gaghan,2016
21,Manchester by the Sea,Kenneth Lonergan,2016
22,Hounds of Love,Ben Young,2016
23,Trolls,Walt Dohrn,2016
24,Independence Day: Resurgence,Roland Emmerich,2016
25,Paris pieds nus,Dominique Abel,2016
26,Bahubali: The Beginning,S.S. Rajamouli,2015
27,Dead Awake,Phillip Guzman,2016
28,Bad Moms,Jon Lucas,2016
29,Assassin's Creed,Justin Kurzel,2016
30,Why Him?,John Hamburg,2016
31,Nocturnal Animals,Tom Ford,2016
32,X-Men: Apocalypse,Bryan Singer,2016
33,Deadpool,Tim Miller,2016
34,Resident Evil: The Final Chapter,Paul W.S. Anderson,2016
35,Captain America: Civil War,Anthony Russo,2016
36,Interstellar,Christopher Nolan,2014
37,Doctor Strange,Scott Derrickson,2016
38,The Magnificent Seven,Antoine Fuqua,2016
39,5/25/1977,Patrick Read Johnson,2007
40,Sausage Party,Greg Tiernan,2016
41,Moonlight,Barry Jenkins,2016
42,Don't Fuck in the Woods,Shawn Burkett,2016
43,The Founder,John Lee Hancock,2016
44,Lowriders,Ricardo de Montreuil,2016
45,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011
46,Miss Sloane,John Madden,2016
47,Fallen,Scott Hicks,2016
48,Star Trek Beyond,Justin Lin,2016
49,The Last Face,Sean Penn,2016
50,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,2015
51,Underworld: Blood Wars,Anna Foerster,2016
52,Mother's Day,Garry Marshall,2016
53,John Wick,Chad Stahelski,2014
54,The Dark Knight,Christopher Nolan,2008
55,Silence,Martin Scorsese,2016
56,Don't Breathe,Fede Alvarez,2016
57,Me Before You,Thea Sharrock,2016
58,Their Finest,Lone Scherfig,2016
59,Sully,Clint Eastwood,2016
60,Batman v Superman: Dawn of Justice,Zack Snyder,2016
61,The Autopsy of Jane Doe,André Øvredal,2016
62,The Girl on the Train,Tate Taylor,2016
63,Fifty Shades of Grey,Sam Taylor-Johnson,2015
64,The Prestige,Christopher Nolan,2006
65,Kingsman: The Secret Service,Matthew Vaughn,2014
66,Patriots Day,Peter Berg,2016
67,Mad Max: Fury Road,George Miller,2015
68,Wakefield,Robin Swicord,2016
69,Deepwater Horizon,Peter Berg,2016
70,The Promise,Terry George,2016
71,Allied,Robert Zemeckis,2016
72,A Monster Calls,J.A. Bayona,2016
73,Collateral Beauty,David Frankel,2016
74,Zootopia,Byron Howard,2016
75,Pirates of the Caribbean: At World's End,Gore Verbinski,2007
76,The Avengers,Joss Whedon,2012
77,Inglourious Basterds,Quentin Tarantino,2009
78,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,2006
79,Ghostbusters,Paul Feig,2016
80,Inception,Christopher Nolan,2010
81,Captain Fantastic,Matt Ross,2016
82,The Wolf of Wall Street,Martin Scorsese,2013
83,Gone Girl,David Fincher,2014
84,Furious Seven,James Wan,2015
85,Jurassic World,Colin Trevorrow,2015
86,Live by Night,Ben Affleck,2016
87,Avatar,James Cameron,2009
88,The Hateful Eight,Quentin Tarantino,2015
89,The Accountant,Gavin O'Connor,2016
90,Prisoners,Denis Villeneuve,2013
91,Warcraft,Duncan Jones,2016
92,The Help,Tate Taylor,2011
93,War Dogs,Todd Phillips,2016
94,Avengers: Age of Ultron,Joss Whedon,2015
95,The Nice Guys,Shane Black,2016
96,Kimi no na wa,Makoto Shinkai,2016
97,The Void,Jeremy Gillespie,2016
98,Personal Shopper,Olivier Assayas,2016
99,The Departed,Martin Scorsese,2006
100,Legend,Brian Helgeland,2015
101,Thor,Kenneth Branagh,2011
102,The Martian,Ridley Scott,2015
103,Contratiempo,Oriol Paulo,2016
104,The Man from U.N.C.L.E.,Guy Ritchie,2015
105,Hell or High Water,David Mackenzie,2016
106,The Comedian,Taylor Hackford,2016
107,The Legend of Tarzan,David Yates,2016
